City ID,City,Country,Date,Lat,Lng,Current Temp,Max Temp,Humidity (%),Cloudiness (%),Wind Speed (mph)
210,Naze,JP,1599440561,28.37,129.48,82.4,82.4,78,75,10.29
211,Kruisfontein,ZA,1599440561,-34.0,24.73,51.42,51.42,95,0,2.73
212,Moanda,GA,1599440561,-1.56,13.22,69.78,69.78,92,54,3.2
213,Half Moon Bay,US,1599440562,37.46,-122.43,93.31,105.8,32,1,13.87
214,Chui,UY,1599440562,-33.7,-53.46,49.12,49.12,87,0,7.43
215,Oyama,JP,1599440562,36.3,139.8,80.6,80.6,88,75,4.7
216,Praia,CV,1599440563,14.92,-23.51,78.8,78.8,83,20,3.36
217,Nur,PL,1599440563,52.67,22.32,51.8,51.8,85,99,2.37
218,Palana,RU,1599440563,59.12,159.97,47.35,47.35,82,100,4.03
219,Provideniya,RU,1599440564,64.38,-173.3,44.6,44.6,75,75,29.08
220,Dikson,RU,1599440564,73.51,80.55,42.06,42.06,80,78,20.45
221,Cape Town,ZA,1599440419,-33.93,18.42,53.67,54.0,81,0,2.24
222,Portland,US,1599439746,45.52,-122.68,86.23,89.6,33,20,6.93
223,Laas,IT,1599440565,46.62,10.7,51.8,51.8,93,40,8.05
224,Kaitangata,NZ,1599440565,-46.28,169.85,55.99,55.99,53,100,5.99
225,Meriden,US,1599440565,41.54,-72.81,70.84,73.99,68,90,3.0
226,Thompson,CA,1599440566,55.74,-97.86,46.4,46.4,61,75,18.34
227,Yate,GB,1599440566,51.54,-2.42,53.17,55.99,91,98,0.76
228,Redmond,US,1599440470,47.67,-122.12,76.17,80.01,53,0,6.02
229,Tilichiki,RU,1599440567,60.47,166.1,48.34,48.34,67,100,5.3
230,Coyhaique,CL,1599440567,-45.58,-72.07,42.8,42.8,75,35,3.36
231,Kieta,PG,1599440567,-6.22,155.63,83.26,83.26,72,13,3.29
232,Atar,MR,1599440530,20.52,-13.05,90.21,90.21,39,100,12.55
233,Inuvik,CA,1599440568,68.35,-133.72,50.0,50.0,57,20,6.93
234,Palanka,RS,1599440568,45.25,19.39,61.88,64.0,87,0,5.82
